,Action_1,Action_2,Action_3,Action_4,Action_5,Action_6,Action_7,Action_8,Action_9,Action_10
Link_1,15.624382076099048,23.0463752609631,23.046375264760176,23.04637526482912,23.046375233861372,15.624382055869132,15.624382076006901,23.046375263317735,23.061653447508284,23.046375261228363
Link_2,16.040429549376142,16.04042954983994,16.04042953784086,16.040429536962286,16.040429548948293,16.040429539127118,16.04042954996645,16.04042954878255,16.0404295376972,16.04042955364979
Link_3,16.502732072556658,23.924725223513427,16.502732059649443,16.50273205873816,23.924725229203776,16.502732059390517,16.50273207318082,16.502732070235982,16.502732059221163,16.50273207308641
Link_4,6.458921394252816,6.458921394420863,6.4589213886865835,6.443643206122239,6.45892139524892,6.458921388447508,6.45892139468656,6.458921389735974,6.45892138840008,6.458921389835251
Link_5,15.16207955291851,15.162079587289611,22.58407274295162,22.584072743053216,15.162079553605894,15.162079535605736,15.162079552792576,22.584072741864286,22.5993509259843,22.584072741791733
Link_6,25.66578557991568,25.665785545857627,18.24379234505615,3.859371102852106,25.66578555071954,3.8593711032988245,25.665785545720787,3.8593711043210535,3.417185248804123e-10,18.24379234519728
Link_7,35.10520978493914,35.105209777336974,4.0045736071635565,0.27108821388182136,4.0045736073815235,4.004573606377599,4.004573607896296,4.004573607299255,4.004573607084451,4.004573623177878
Link_8,25.073373460851453,25.073373453457748,17.710133337030843,1.1265017821405906e-10,25.073373445107325,6.9855947060946875,25.07337345431661,10.688952187974097,6.844859278053075,25.073373453983976
Link_9,26.674191149833426,26.67419112390808,17.002703815125596,3.761660675449096e-10,26.67419114154915,4.986494201899451e-10,26.674191149547166,17.002703814549765,2.6941015085364346e-10,17.002703815430277
Link_10,5.113745966577737,7.363240094343938,5.113745965031225,5.113745964758936,5.113745966918798,5.113745964501416,7.363240094809153,5.113745965767467,1.3951102897190788,7.363240092884766
Link_11,23.83228490652962,26.08177903237933,21.582790757525288,1.2543748623462165,23.832284910160222,8.23996956742257,26.08177905801353,21.582790773271054,8.239969567478534,23.8322849225935
Link_12,7.421993203239767,6.1243647601205575,1.8223687997616186e-09,2.0419873903863878e-11,7.4219931890834125,7.421993203476673,7.421993202989404,4.779547511737149e-10,1.4896607729710286e-10,1.932482877932016e-09
Link_13,7.578006797314972,14.0481342732314,7.578006794573831,3.9181241647185407,7.578006797551511,3.918124164466868,14.999999999857705,7.578006795102802,3.9181241652306924,14.999999998950143
Link_14,7.437271390710364,7.437271356971197,0.015278183575930483,3.122465689410232e-11,7.437271390591328,7.437271391968901,7.437271391860563,0.01527819665421049,1.1291388060142548e-10,0.015278201693285958
Link_15,5.172499032835866,5.172499034502164,5.172499032023187,5.1724990265843305,5.172499030984512,5.172499026619529,7.421993203325983,5.172499030243308,5.172499025923411,7.421993203169212
Link_16,1.2864223780248707,5.098387297526295,1.2864223767246916,1.2711441805096675,7.347881468564582,1.2864223631667688,6.369531471369015,1.2864223671432544,1.2864223626167022,5.0983872961048755
Link_17,11.76271693534636,11.762716964526751,11.762716928968914,11.762716934214724,11.76271693447522,6.358930034890912e-10,11.76271696487803,11.762716930943494,4.6466535450061584e-11,11.762716961855228
Link_18,34.973272871149824,35.105209782995935,2.435767426798797e-08,1.9181571836359715e-08,34.97327286627855,34.97327286364361,35.1052097842133,34.97327286561776,2.338128711751322e-08,35.1052097768815
Link_19,0.01527820407842143,5.124871534458239,0.015278201814947249,9.82542549468139e-10,6.07673730580809,0.015278189830985498,7.347881468879586,0.01527820382684495,1.0404458576687416e-10,6.076737309199638
Link_20,11.762716959131343,11.762716964898164,11.762716950719705,11.762716953338689,11.762716953735346,2.1654664122913047e-08,11.762716964163086,11.762716949742023,2.1044772912184592e-08,11.762716954303619
Link_21,7.5752897339325695,3.520638325018855,1.2711441570852666,1.2711441553922347,3.5206383235142895,1.2711441574690012,6.596939736646616,3.5206383221336144,1.271144156740576,1.2711441581031429
Link_22,7.568733874092135,6.362544561047194,6.362544560070204,5.695093260124674e-09,4.113050391622523,4.113050391212308,7.568733874316754,4.113050385255196,4.113050385026076,4.113050408922517
Link_23,6.985594724415092,14.407587907321046,6.985594706772701,1.2467626303362016e-10,6.985594724261486,14.407587908247946,14.407587907987494,6.98559472405871,6.985594706665355,14.407587904876632
